Sentiment,Feedback
positive,"I first tried these powdered green teas from Stash last summer. This spring I wanted more, but the store I got them from didn't think the vendor would be carrying any.  I was delighted to find that I could get them from Amazon. I ordered a whole bunch and look forward to having refreshing REAL FOOD drinks all summer in an easy to make form."
positive,"I finally finished my box of the Blueberry Green Tea Powder and wanted to try something new!  So glad I tried this flavor as it is now my favorite!  Just add it to a cold bottle of water, drink it as is, or add a few drops of Stevia or Agave and you are good to go.  Very refreshing!!  Will be packing this on my trip to Mexico!"
positive,"lots of uses for this green tea...<br /><br />I generally like most tea (though not the over-ally flowery blends)...<br /><br />Being on more of a health kick in recent years, I have added a lot more GREEN tea to my diet in one form or another...<br />from straight brewed tea &lt;> hot or iced...<br /><br />To adding the powder to things like salad dressings, smoothies, baked goods, etc.<br /><br />I am not new to green tea....as I first started drinking it when living in Japan some Negative0+ years ago....<br />in the ground form known as matcha.<br />A quality product. Dissolves well.<br /><br />I like both the unsweetened and the lightly sweetened."
positive,"As a long time tea drinker, was happy to come across this iced tea mix.  It serves as my sports drink while exercising or golfing.  I find this iced tea very refreshing.  I really like the flavor and especially the low sugar content.  The plain green is my favorite followed by the raspberry.  The blueberry is good too; it's unsweetened, so I add half a packet of Truvia."
positive,"I really enjoy this tea because it's not to sweet and it's easy to use.  I carry it and my mug with me and just add hot or cold water, depending upon my mood.  I find that it gives me just the right kind of energy and it can even hold my hunger between meals. A real great thing because I watch my calories.  And of course, green tea is full of antioxidants."
positive,This is good iced tea.  It is hard to find locally in the Fall and Winter.
positive,I am hooked.  This is a great way to get more fluids into my day without making it seem like a chore.  This powder tastes great without any additional sweeteners.  It is just what I have been looking for.  Also try the Blueberry version.  Delicious!
positive,"Green tea is good for you, loaded with antioxidants, boosts your metabolism, yadda, yadda, yadda, but I never quite warmed up to the taste.  Until now.  The lemon and the ginger give this a very nice flavor.  And it is SO great that I can just add a packet to my water bottle and go, without the bother of brewing it."
positive,"Just the right amount of blueberry flavor, and the tea itself is not overwhelming. I love that it has no added sweeteners, and really does not need them.<br />This is a perfect way to get more water and benefit from the antioxidants in the tea as well!"
positive,I drink this delicious tea almost every day.  I have yet to find anything like it on the market.
positive,Love this product!  It adds flavor to your water without all the nasty artificial sweetners.  Hope this product is here to stay!
positive,"Powdered green tea with lemon & ginger provides quick daily source of antioxidant ingredients desired but in higher concentration and without the bother of brewing tea bags. Simply pour in water bottle, shake and be on your way.<br /><br />Product used to be available in local health food stores but is no longer carried. Much easier and more cost effective when bought in quantity on Amazon."
positive,"<a href=""http://www.amazon.com/gp/product/B00NegativeNegativeBSMJM"">Stash Premium Green Iced Tea Powder, NegativeNegative-Count Packets (Pack of 6)</a> Easy to mix and refreshing with ice."
positive,"I was looking for mint green tea I could carry with me to mix up while out and about. If that's what you want, then this product is perfect. I add a little extra water, but that's just my taste. So, if you're looking for mint green tea powder . . . look no further!"
positive,"This has a great rich taste. Remember this is ground whole leaf, so the tea is stronger than you may expect.  Not overly sweet and dissolves readily.  I use it during workouts mixed with ice water in a Polar bottle."
positive,"I liked the flavor and the ease to mix this tea.  I use a few packets and make a pitcher to keep in the fridge.  Very good COLD and needs NO sweetening as is lightly sweet already.  Doesn't look pretty, but DOES look like a healthy drink!  I liked it!"
positive,"I purchased this item when it was on sale.  I wasn't certain if I'd like it but I've read so much about the health benefits of green tea I wanted to try it.  This is a nice, pleasant beverage. The flavor isn't too strong.  I add a packet of Splenda to make it a bit sweeter.  The powder dissolves easily in cold water.  The flavor is natural not fake.  I was impressed enough with it that I have signed up for auto-delivery."
Negative,The tea was very weak and not that good. Now I have six boxes of tea I that no one in my family likes.
positive,"LOVE this!  I dislike drinking plain water and have been looking for something easy that I could add to my s/s water bottle (gotta be good to the environment, right?)  The flavor is great, ease of convenience is wonderful and the hint of sweet is not overpowering at all.  I can drink my green tea with or without sweetener.  The only thing is if you want to drink green tea all day long, the calories WILL add up - I think each packet is 60 calories.  I drink Negative (NegativeNegative oz) bottles of water a day so that would be NegativeNegative0 calories of sweetened drink a day.  But I will still give the product positive stars because the product is fab.  I'd just pick something else if I'm going to pound water all day long (perhaps the blueberry green tea one which is NOT sweetened - it's excellent as well)  I'll use this for one bottle and a non-sweetened one for the other.  Best of both worlds.  Enjoy!"
positive,I used to always go to Jamba Juice for the Match green tea shots...after trying this iced green tea powder I was hooked.  This flavor is lightly sweetend and the raspberry and pomegranate flavors are just subtle enough to not mask the true flavor of the green tea.  I don't mind the funny green color...after all it's green tea.
Negative,This iced tea is terrible. This is the first Stash product that I do not enjoy. It is not iced tea. It tastes more like powdered peppermint leaves.
Negative,"The first ingredient in this mix, before the tea is even listed is maltodextrin.  If you suffer from a corn allergy, please do not forget to read the label & unwittingly drink this.  I have no idea why there is more maltodextrin in this product than the main product, the tea itself.  I realize this is not a review, let alone a ""helpful review"", as I did not describe the taste of the product or even review the product. I couldn't review this product, if I wanted too.  I want people with a corn allergy to be advised of the ingredients in the tea.  I didn't know how else to inform folks about the ingredients except for on the page with reviews.  I could not give the product more stars, as it contains more maltodextrin, than tea itself."
positive,"i have never liked green tea but i knew it was good for me so i have been drinking it for a lot of yrs. i grew up living in the western usa and our neighbors were japanese. they were sweet and gave us tea from japan. my father enjoyed it every morning and added a tablespoon of honey and a little cream to it. he smoked all his life and died at 9Negative. anyway, i found when at times i would quit drinking it i wouldn't feel as good as i did when drinking it. i got tired of boiling the water with the teabags and then getting everything in a container to put into the frig. i really drank a lot of it.  well, i stumbled onto a warehouse to pick up some things i had ordered and noticed this tea. i was immediately interested as you get to drink the whole tea leaf which gives you Negative0 times more antioxidants. wow, that was good for me so i got a couple cases and when i ran out searched the internet for stash brand. i really love it. i love that it is LIGHTLY SWEETENED, i love that i can just open a packet and throw it into my tumbler, add ice and water and be on my way. it's just right. but more then anything else i love the way it makes me feel. so much more energy and i truly believe it is helping my well being. no getting around about it i don't get sick often for sure. now i haven't tried the other brands and i feel i don't have to because i am so satisfied with this one. the price is also cheaper. i don't think you can go wrong with this choice.  perky"
positive,love the ease of having green natural tea anywhear any time . tastes great i love this stash green tea
Negative,"I bought this tea as I like blueberries, and Stash is known as making good teas.  However, when I first emptied the drink mix in the water the color was an odd green (not very appetizing).  Once I mixed the powder with water, the resulting tea had no real flavor.  I feel like I wasted my money and can't get a refund."
positive,"This is one of my favorite water add-ins. I think it has a really crisp, clean taste...with a hint of grassy-ness. The tea particles tend to settle at the bottom of the bottle, if left standing for more than a few minutes, so I have to shake it up periodically. There are times when I feel like I'm drinking something that was squeezed off the blades of a lawnmower, but this seems to be based on my choice of sweetener. It tastes great when I use stevia, but when I use Sweet & Low...I get a bitter-ish grassy taste."
Negative,"I bought this ""flavor"" and the raspberry pom and while they are consistent, it's useless.<br /><br />If you plan on making a pitcher of tea, forget it, it takes positive packs for 6positive oz and is still very, very weak in flavor, and it must be consumed in NegativeNegative hours (so they say) so you're much better off brewing your own.<br /><br />However, if you're idea is to ""stash"" this in your purse (for the ladies) or pocket (for men, which would be weird) it's still misses the mark. One packet does very little for flavor with Negative6 oz of water so you'd have to use two, and WHO drinks just Negative6 oz of water when out to eat or something of that nature? Also, with only 8 to NegativeNegative packets in a box (depends on flavor, who knows why?), that gives you positive to 6, Negative6 oz drinks for $Negative. Not sure it's worth it at all, I'd rather drink lemon water when out than this."
Negative,"If you plan on making a pitcher of tea, forget it, it takes positive packs for 6positive oz and is still very, very weak in flavor, and it must be consumed in NegativeNegative hours (so they say) so you're much better off brewing your own.<br /><br />However, if you're idea is to ""stash"" this in your purse (for the ladies) or pocket (for men, which would be weird) it's still misses the mark. One packet does very little for flavor with Negative6 oz of water so you'd have to use two, and WHO drinks just Negative6 oz of water when out to eat or something of that nature? Also, with only 8 packets in a box, that gives you positive, Negative6 oz drinks for $Negative. Not sure it's worth it at all, I'd rather drink lemon water when out than this."
Negative,"If you plan on making a pitcher of tea, forget it, it takes positive packs for 6positive oz and is still very, very weak, and it must be consumed in NegativeNegative hours (so they say) so you're much better off brewing your own.<br /><br />However if you're idea is to ""stash"" this in your purse (for the ladies) or pocket (for men which would be weird) it's just okay.  One packet does little for flavor with Negative6 oz of water so you'd have to use two, and WHo drinks just Negative6 oz of water when out to eat or something of that nature?  Also, with only 8 packets (the raspberry pom) in a box, that gives you positive Negative6 oz drinks for $Negative.  Not sure it's worth it at all, I'd rather drink lemon water when out than this, equally as bland but free."
positive,"<a href=""http://www.amazon.com/gp/product/B00NegativeNegativeBZGHS"">Stash Premium Mint Green Iced Tea Powder, NegativeNegative-Count Packets (Pack of 6)</a> Light mint taste, easy to mix powdered tea, great on ice."
Negative,This was a big disappointment. There was no raspberry or pomegranate flavor to this. The color is green and not very appealing to look at. However it does work as a great antioxidant.
Negative,I wish I had read the product description better....I didn;t realize this was sweetened...I do not like the sweetened teas...now I am stuck with Negative orders of them....but the other green tea powder is great.
Negative,"When I saw the mint iced tea powder on the website, I thought I would like it. But when  I received it and tried one, I was very disappointed. It was the green tea and not sweet at all. The flavor was nothing at all like an iced tea like I was expecting. I had to add sugar to it to get a flavor that I like to be similar to regular iced tea. I don't even know if I'll be using the others I had received. Sorry about this, but you did ask for my review on this."
positive,"What a lovely tea this is! The rose petals are abundant in the mix, and when you brew a pot of tea and then raise the cup to your lips, the full, sweet scent of roses greets you! This tea is perfectly blended and balanced! Its color is coppery-golden, very warm and luscious. I just want to drink it every day, for relaxation and sheer enjoyment!"
Negative,"Upon opening the sealed bag, I was struck by an unpleasant scent.  Looking at the ingredients I saw, in addition to the black tea and rosebuds, a ""natural flavor"" additive.  I believe this additive is the culprit to ruining what should have been a delightful bouquet to my nose.  Then I brewed this tea, and could still taste that additive, but overall the tea was tasty.  I hope the Davidson family reads our reviews because I am certain that, if they would just refrain from adding the ""natural flavor,"" I and others would find this tea to be superb, and in keeping with the other teas I have come to enjoy from Davidson's.  For example, upon opening their Darjeeling loose tea, as well as their Assam loose tea, my nose is struck with a lovely bouquet ~ this is what one wants to experience from superb teas.  I will look forward to Davidson's responding to my (and other customer's) suggestion re: this nasty flavor additive.  I've enjoyed tea with rose petals while in India, and they did not put anything other than the tea and the dried rose petals."
Negative,"This tea was horrible.  It tasted like potpourri.  I have really enjoyed other Davidson's teas,many also containing flowers, and thought to try something new.  I think the last ingredient is where things went bad.  It was ""natural flavor""  which must have been rose oil or something since my tea chemical taste and making a weaker tea did not help at all."
Negative,"When I ordered this tea, I was so excited because I thought I had finally found the equal to another brand's rose tea (in individual bags). I was excited for the loose quality of the tea, along with the anticipated light delicate taste I'd hoped for.<br />I was sadly mistaken... When I excitedly opened it, I was hit by a very sweet, syrupy, cotton-candy-like smell coming from the bag. Not a good scent. Then, I thought 'the smell doesn't determine the taste' so I steeped the recommended tablespoons for the amount of time indicated and then tried a taste. The overpowering sweet smell gave was to a bitter taste, not at all reminiscent of my previous experience with rose tea. Unfortunately, I had to pour the rest of mine out.<br />I have a bag of Hibiscus tea coming in the mail soon from this company. I'm really hoping it's better!"
positive,"This is my first exposure to rose tea. I purchased it because of the previous review. I have to concur. This tea is delightful. The aroma is fantastic and makes you believe you are in the midst of a blooming rose garden. It is a perfect tea to sip in the winter months as it fills your senses with the scents of summer. I bet it would be refreshing as an iced tea with a sprig of fresh mint. Too cold to try that now, but once the snow melts, I will! Great product for the price!"
positive,WOW!  I am a PEPSI-holic and was gaining weight as you can imagine. A little 8positive year old woman introduced me to your tea HOT.  AND now with just A LITTLE bit of honey and ice I have a nice cool refreshing drink!!
positive,"I am pleased the bag is so large; it means I'll be sipping this tea for a while.  This tea is perfect for the start of the work day:  the rose and hibiscus liven my senses; the caffeine pushes me to type a bit faster as I climb over a hillock of e-mails.  The flavors are a bit more pungent than similar blends I've mixed on my own (is the cause the mysterious ""natural flavor"" another reviewer pointed out?), but it is still quite pleasant.  I certainly look forward to many more mornings begun over several cups of rose congou."
positive,The fragrance of the tea totally blew me away. Recommend it to anyone who enjoys mild green tea with a pleasant rosey scent.
positive,"I am enjoying this tea and the price was reasonable.  I don't think the rose flavor is as pronounced as my favorite rose tea, but since I can not get that one at this time, I ordered this one, and it is very good."
positive,"I bought this tea many months ago and waited to review it, to see if I really liked it over time.<br /><br />I do.  This tea is really lovely.  The rose scent and taste are just right -- not too lame, not too overwhelming.  I find it slightly calming, even with the caffeine from the black tea.  Of the 6 or so loose teas in my drawer that I regularly use, this is the one I seem to reach for most often.  I'm diligent about brewing times.  This one is positive min. and I set the timer.  Gives me a perfect cup every time.<br /><br />Don't forget that it's organic.  Support organic practices and do something beneficial for your body.<br /><br />This tea was a good buy and has withstood the test of time (for me)."
positive,"Good beans.  I can't find these in the grocery stores where I live, but ordered them through this retailer with no problems."
positive,"Adzuki ( or Azuki) beans are ment to be used in asian sweets. You can make sweet bean paste by boiling the beans for Negative0-positive0 min, (changing the water out at least twice) draining and mashing the beans with sugar.(strain the paste if you do not like the bean skins)  What you get is a paste that can be put on ice cream, fill pasteries or stuff into Mochi Cakes."
positive,their not only good for you but their yummy.they smell like cloves when their cooking and taste  a little sweet.
positive,Good stuff - like lentils you don't need to soak these.  They are small so feel good in the mouth.
positive,"I really like this flavoring. I try to stay away from sugar and artificial sweeteners so this was perfect because it contains absolutely no sweetener so I can add my own (mostly liquid stevia).  I also love vanilla flavoring in many things I make so I sometimes use this in place of extract which can be pricey if you use it a lot. For example, I make my own almond milk so I like to add vanilla to sweeten and lighten the taste. This works better than an extract because there is no alcohol taste. I also make blueberry syrup with agave and this flavoring and it turns out very good. I put it in pancake batter and the flavor still holds after cooking (also with cookies). I use this all the time and now I am not dropping $Negative0 every couple of weeks for vanilla extract."
Negative,"I wanted to love this but I just didn't. Despite being sugar free it has Negativepositive calories per pump and in my opinion needs three pumps to add enough flavor to my iced vanilla lattes. If your going for calorie count this isn't favorable. I would however say if you think other brands are a bit too sweet or if calorie count isn't overly important you should give it a go, it may be just what you were looking for! As a side note if calorie count is unimportant I recommend their coconut cream flavor<a href=""http://www.amazon.com/gp/product/B00positiveZUNegativeJJpositive"">Amoretti Premium Coconut Cream Syrup (7positive0mL)</a>, its delicious!"
Negative,We purchased from the original website 8 flavored sugars all but the raspberry was worth the money the rest had little or no flavor at all! It was expensive and not worth the money.
positive,"We've been eating this delightful cereal for several years.  My kids always feel better on gluten free foods and so do I.  Unlike the popular junky cereals, this version of a slightly chocolately cereal is light and not too sugary and it's a special treat for the kids.  I also like supporting Envirokids products - the pricing has come down to where it's nearly the same as the other mainstream cereals that are not as good for you."
positive,"We received this as a gift, along with some homemade graham crackers.  My husband and I have become addicted to it.  If you love things like lemon meringue pie, you will adore this luscious,lemony spread on grahams, pound cake, etc.  Just a thin layer of this delicious confection enlivens your taste buds with an explosion of flavor.  I highly recommend this product if you are looking for a very special treat."
positive,I have never tasted any better! Need to keep refrigerated or it will lose color and flavor but is worth the price.
positive,"Mixed with whipped cream and blueberries this lemon curd is a delicious, easy, quick summertime dessert that will delight any guests."
positive,"The popcorn itself is yummy, just be warned that we had trouble popping it using our air popper.  The kernels were too light and would blow out of the popper before they were popped.  It's great in the microwave or a pan, but maybe the larger white or yellow would be a better match for an air popper."
positive,"I won't claim to be a professional food taster ... I just know what I like and don't like.  I don't like ""yellow"" popcorn, I don't like microwave popcorn, I like the ""white"" popcorn cooked in a pan.  For my ""popping style"" the Baby White pops great w/o lots of hard kernels.  'nuf said."
positive,"This is really good. Tender, a little sweet. Easy to make in the Whirley Pop, and excellent with some Cheddar & Spice popcorn seasoning!"
positive,"I was a little concerned to buy the popcorn, as you never know what you are going to get.  But I did and I am glad I did.  The popcorn is nice and tender, pops easy, great taste and hull-less.  I have moved from the microwave popcorns and glad I did because of this product.  I like the fact the the popped corn is small but great!"
Negative,"I love the popcorn, but the shipping costs are INSANE!! A total rip off. Wabash Valley Farms or Amazon or whoever is charging the shipping is out of their mind. positive Stars for the popcorn. Minus positive stars for the terrible cost associated with shipping. Argh...Yes, the popcorn is tender and luscious, and it melts in your mouth like you're eating cooked grasshoppers, but come on!!! Can't you ship this product for less?<br /><br />Shipping the 6 pound bag is even worse. *sigh* Too bad really."
positive,"We like the much harder to find ""white"" popcorn over the more common ""yellow"" popcorn and Amish Country Baby White is our absolute favorite.  We usually order Negative of the 6 lb bags 'cause we go thru it so quickly."
positive,I love this popcorn. Only downside is the shipping and packing. Cost almost as much as the popcorn. Need to pack it better. Bag split and a bunch of loose popcorn falling out of the box when the guy brought it to my door.
Negative,"I purchased the baby white by accident.  We usually get the medium white, which is great.  The baby is so small when popped that the taste and texture of the hull shell really overwhelm it."
Negative,"Tasty, small kernel popcorn. However, too small and too light to be popped in a hot air popcorn popper. The kernels are blown out of the popper before they are popped."
Negative,The gourmet corn is smaller kernels than I like so would probably not buy it again.  But with their special oil and the Stir Crazy Popper every kernel pops every time.<br /><br />I will probably return to good old Jolly Time.
positive,This is the best popcorn i have ever ate. I use a Whirley Popper to pop my popcorn. When you eat this baby white hulless you will never go back to any other popcorn. I gave my Orville Redenbacher's  and Walmart popcorn away..To many husks. You just can't beat this popcorn. It tastes sooooo good even my puppy loves it.
positive,"I first had this popcorn at my 8positive year old cousin's home. I thought it was so tender and delicious, and I wanted to buy some for myself. I found it on Amazon.com believe it or not!!!  Anyway, I ordered 6 pounds of it. All 6 pounds are now gone. This popcorn is REALLY good. It is different than other popcorns I have eaten because the kernels are small and very delicate. I consider myself a pro when it comes to popcorn because I have eaten it every night since I was a little girl. I usually eat my popcorn Negative kernel at a time, but since the kernels are so small, I ate it by the handful. My only complaint is that it does cost a lot to have it shipped. I wish I could find it locally so I would not have to pay for the shipping costs. If you like popcorn, I highly recommend it."
positive,OVER THE YEARS I HAVE BOUGHT A LOT OF POPCORN FOR POPPING AND I HAVE FOUND THIS SMALL BABY WHITE HULLESS TO BE THE BEST FOR POPPING AND NOT A LOT OF THE SO-CALLED OLD-MAIDS I ALSO HAD TO RETIRE MY Negative0 PLUS YEAR OLD WABASH VALLEY FARMS STOVETOP POPPER IT WAS A GOOD ONE SO IF YOU LIKE POPCORN AND WHO DOESN'T THIS POPCORN AND POPPER COMBINATION IS THE BEST AND THE POPPER COMES WITH A Negativepositive YEAR WARRANTY AS WELL MONEY WELL SPENT YOU WILL NOT DISSAPOINTED WITH EITHER OF THEM SO ENJOY
positive,This is the best popcorn I have ever had.  As a kid I ran the popcorn machine in a theater so I feel I know what I'm talking about.  We used yellow popcorn but I still think white is best.
positive,"Baby white popcorn from Wabash Farms pops nicely, has no meanacing hulls to get into your teeth, and is very tasty. What more could you ask from a popcorn? I highly recommend this product. At least a four star."
positive,"The small, white popcorn is the best!  Very delicious - and I've tried lots."
positive,"This was the sweetest, smallest, hulless, best tasting white popcorn I have ever had.  Just placed an additional order for a 6 lb. bag as well as other varities carried by this company."
positive,Great popcorn!! Good popping results and wonderful flavor.  Can't help but love it and I will re-order when I run out.  Recommend to one and all
positive,"I love little white kernels of popped corn.  This was good stuff, but I think I'll try a larger white kernel to pop next time, my preference."
positive,Pops great in the microwave.  Much better than many store brands.  Good product.
Negative,"I was disappointed.  I thought being Amish and according to the advertising that it would be exceptional.  But it's just popcorn, no better than others I've purchased.  So, so. I would not buy it again."
positive,"My doctor told me I must eat ""hulless"" popcorn if I have popcorn at all.  Because I can't give up my favorite snack, I bought this Wabash Famnily Farms Amish Country popcorn.  The kernels are tiny, but they pop well, although not as big and fluffy as the popcorn I get from the grocery store.  It tastes great, however, and has fewer and smaller hulls.  I don't think there is such a thing as completely hulless,but Ido notice thst I don't get the hulls stuck in my teeth anymore."
positive,I ordered Negative 6lb bags with free shipping because of the reviews. I really like it but the real test was my wife's opinion and we also ordered positive and Negative/Negative lbs of popcorn from the Boulder popcorn co and the kernels were a little smaller and tasted better. We use coconut oil and it has very good flavor even without butter. I really like the Cambria's Cream kernels the best
positive,"I just made some in my Whirley Pop.  It really is lighter and crisper than the larger, yellow kernels.  None of those large hulls either.  The only difference is, it pops up much smaller than the yellow, so you need to almost double the amount of kernels used per pot.  Lovely homemade popcorn."
positive,"Use olive oil to cook this, salt it well, and it is the best, most tender popcorn I have ever eaten. I add a tiny bit of butter to mine, but don't need it. My nine year old daughter didn't like popcorn until she reluctantly tried this. After a few bites, she consumed half the bowl!<br /><br />I bought mine at a specialty popcorn shop in Long Grove IL, so I didn't have to pay shipping costs, but when it's gone, I might have to bite the bullet and order it from here."
Negative,"Wish I would have read the reviews that discuss the product's performance in hot air poppers.  The PC is very tasty and light with no residual kernel shells that get stuck in your teeth...positive stars.<br /><br />Problem with using it in hot air poppers is that the kernels are too light and fly out of the machine before they pop.  Tilting the machine helps keep them inside, but it would be simpler just to find another larger kernel corn."
positive,"We've enjoyed this popcorn every bit as much if not more than the Movie Theater Popcorn.  It's light and fluffy - tender - and delicious.  I think we enjoy it a bit more because we know there is no ""palm"" oil or coconut oil in it - we can control what oils we add or leave out.  It works well with the popper - in fact just last night we had a popper full of this corn and followed it with the other because we had purchased so much of the other - we enjoyed this more."
Negative,"Popcorn has grear color (white)  But taste is average and due to shipping costing more then product, I would not buy again."
positive,"I bought the Whirley-Pop Stovetop Popcorn Popper several months ago, which (of course) the Wabash Valley popcorn came recommended (same company). I thought...what the heck; I've always wondered how ""gourmet"" popcorn differed from Orville or other everyday popcorn brands.<br /><br />Let me tell you...IT IS WORTH THE EXTRA MONEY! I can really taste the difference in quality. AND, ""normal"" popcorn just doesn't taste right when you make it in the Whirley-Pop.<br /><br />This popcorn is so tender and tasty. It was a little weird to see and eat at first because it's about half the size of regular popcorn. But, I believe this characteristic is essential in helping the seasonings completely coat the corn.<br /><br />My favorite prep methods include using the Whirley-Pop and Nutiva Organic Extra Virgin Coconut Oil (see my review for that for more details!) I add a little peanut oil, sea salt, black pepper, and a good amount of Vegaline Garlic Mist Cooking & Seasoning Spray. YUMMY!!!!<br /><br />I've tried the other Amish Country popcorn, and they're all good. This is my favorite, though!"
positive,This popcorn is really great!  We enjoy the taste and the smallness of the actual popcorn.  Its not like the popcorn that is big and fluffy its small and really great to eat.  I eat only this popcorn now and order every three months. Highly recommend to the popcorn lovers of the world.
positive,"I bought a bowl to pop the corn in along with this popcorn. And put two handsful in the bowl and set the microwave on Popcorn. But it needed more popping for all to pop, in fact almost twice as much time. But the results are great.<br />Today we will get the seasoning I bought for it and look forward to using it to have a woderful snack while watching TV."
Negative,"This is  terrible popcorn! No taste, poor popping ratio. and the size OMG! I popped this Gourmet popping corn in front of a party, everyone busted out in laughter!"
Negative,"Do not spend your money on this product as you will find the popping ratio extremely poor. One cup of popcorn will have Negative/Negative cup of  un poped (old Mades) kernels left over which is unacceptable.This is a non returnable item so if you buy this one you are just out of luck, so I recommend staying away from this one."
Negative,"This is my first time trying Wabash Valley Farms Amish Country Baby White.<br /><br />Pros: It's okay with a nice mild nutty flavor. The hulls are more pronounced than with some other Amish ""Baby White.""<br /><br />Cons: It tends not to briskly pop up. In fact, we've burned several pans because popping it is tricky. We found that the microwave often works better than pan popping. And as mentioned above, the hulls are much more noticeable than with other Amish ""Baby White"" brands.<br /><br />We purchased these 6 bags and we'll use them up but won't be ordering any more. Next time we'll drive the long distance to our nearest Amish store."
Negative,If you like your popped corn small this is for you. Taste is good and it is crisp yet tender. The only real complaint is it has a disproportional amount of hull.
positive,popcorn is very good.  cant believe the difference between this popcorn and the regular stuff at the story. a very good purchase.
Negative,"Bought 6lbs of this popcorn based on reviews that the hulls are softer on this Baby White than on regular popcorn.  Not only are the hulls just as tough as regular popcorn, the corn pops up so tiny that it's about Negative/Negative hull, Negative/Negative popped corn per kernel! I was hoping to use this as a healthy snack for my kids who love popcorn but not the hulls.<br />I popped this using every tip I could find on the internet; all experiments still resulted in a tough hull."
Negative,"Received the ""Baby Yellow"" instead of the correct ""Baby White"" kernels. Unable to return the product since it's a grocery item, but Amazon.com customer service did an excellent job and provided a full refund. As far as can tell, no other issues with product."
positive,"I liked the idea of the small popcorn.  It pops up really well in the popper but it doesn't have much if any ""popcorn"" flavor.  Was pretty bummed by that."
positive,"I used to grow the Japanese hulless in small quantities for my stovetop popper. This is the closest I can find. If you are appalled by the shipping cost, like I was, try looking elsewhere for a better deal. For instance, one popular site offers 6 lbs for $NegativeNegative.9positive with FREE shipping if you sign up for repeating shipments (which you can cancel any time). Try www.c**king.com."
positive,I have made this my popcorn of choice.  I enjoy the flavor and kernal size.
positive,"Get it, Get it, Get it! This popcorn is truly the most tender, delicious popcorn I have ever tasted."
positive,"Got three different Amish popcorn's for my daughter's Birthday..she is always on a diet, I got her the hot air popper same time...she & my grandson..( he's positive) loved it..she ate a bowl every night &  still lost Negativepositive lbs !! not saying it's a diet food, just satisfiing !!"
positive,I bought this popcorn as a gift for some dear friends. The have commented back several times that it's the best popcorn they have ever had. They love it!  They had shopped in the DC metro area to find white popcorn and could never find it so one look on Amazon was all it took to find this -- the best popcorn ever!!
positive,"I bought this for my daughter's new microwave popcorn popper as a Christmas gift, and she says that it is delicious, but pops up smaller than other popcorn.  She likes it a lot."
positive,"This is very high qulity pop corn, I recomend it.  Almost all kernels pop and they are a crisp white when they pop.  Very healthy and yummy!"
positive,"Pops fully, few spare kernels with the traditional stovetop method.  Small, fluffy kernels, not a lot of 'misfires' that are only partially evolved.  My wife says they're a tad too small for her taste, but the kids and I really love this popcorn."
positive,This popcorn brings me back to days before the microwave version. What a treat it was to savor the taste and lightly salted lily white popcorn that was popped over the heat of a stove burner again.
positive,"I love this brand,  all kernels pop and they are a nice size, texture and flavor."
positive,"I have not eaten this popcorn or tasted it myself, it was part of a gift for my daughter in Grad School.  She likes the fluffy quality of the popped corn and the not so many hulls - also the big bag makes her think she can make it last until Christmas ( that remains to be seen) without having to buy more.  A very good snack for a poor Grad Student"
positive,"I'm a huge popcorn fan and have tried all sorts, and the Amish Country brand popcorn is the best I've ever eaten.  Absolutely delicious!"
positive,"There are very seldom any unpopped kernels, which is nice and the flavor is wonderful. Not a whole lot to say about popcorn. I always buy from you guys and will continue to."
positive,"I love white corn, in all its forms, including popcorn. And I hate how outrageously expensive the kernels are in the supermarket, so I love this popcorn."
positive,"I enjoy it practically every evening, it is very good popcorn, not as much hulls and small when popped."
positive,"This popcorn is much smaller than your average popcorn, and it is virtually hulless.  That is exactly what I was looking for in a popcorn because my Negative year old LOVES popcorn.  With Negative year old children, you have to be concerned with the hulls causing choking or hurting their tender gums.  My son has no trouble eating this popcorn.  It is soft and light, doesn't get stuck in your teeth nearly as much, and has a great flavor.<br /><br />This is now my popcorn of choice for our whole family.  I usually pop it in my Negative0 year old cheap hot air popper with no problems.  I get very few unpopped kernels. Another reviewer stated that it flies out before popping, but I have not experienced this problem (it could depend on the popper, I suppose).  I have tried microwaving it in a paper bag, but I always seem to end up burning it.  I think it takes a little more trial and error for microwaving to get the time just right, so I just stick with my hot air popper. I get great popcorn every time!"
Negative,I am so surprised that they have this popcorn for sale.  I received 6 bags the other day and the special popcorn pan from Wabash Valley Farms Amish Country ....GOURMET ... well.. the popped kernels are the size of a pea and with hulls.  It burns very easily.  There are too many old maids due to the delicate nature of the kernel.  I ended up throwing most of the popped corn away.  I am so disappointed in this product.  I now have positive.7positive bags of this stuff ... I have nothing good to say about it ... but if you like tiny popped corn with lots of hulls then this may be your product.  I am giving mine to the squirrels.
positive,"I bought this with the whirly pop popcorn popper, and I made some as soon as I got them. It is the best popcorn I've had. I thought I would mind the smaller kernel size, but I didn't. There is substantially less hull than regular popcorn. The flavor is great. I suggest using peanut oil for popping popcorn. It gives popcorn a great nutty taste - really delicious. You can buy peanut oil at any oriental (Asian) store. It's better than olive oil (olive oil and popcorn is too weird for me). But peanut oil is perfect. You won't need butter flavor or anything like that again (artificial butter flavorings are full of chemicals). Now, we pop around three times a day and always crave this for a snack instead of junkfood. Try it and you'll be popping like us."
